iter	Passed	Remaining
620	1846	1127
621	1848	1123
622	1850	1119
623	1852	1116
624	1855	1113
625	1858	1110
626	1860	1107
627	1862	1103
628	1864	1099
629	1866	1096
630	1870	1093
631	1872	1090
632	1873	1086
633	1875	1082
634	1877	1079
635	1879	1075
636	1881	1071
637	1883	1068
638	1886	1065
639	1891	1063
640	1893	1060
641	1895	1056
642	1898	1054
643	1901	1050
644	1902	1047
645	1904	1043
646	1906	1040
647	1908	1036
648	1910	1033
649	1912	1029
650	1915	1026
651	1916	1023
652	1918	1019
653	1920	1016
654	1922	1012
655	1924	1009
656	1925	1005
657	1928	1002
658	1930	999
659	1932	995
660	1934	992
661	1936	988
662	1938	985
663	1939	981
664	1942	978
665	1945	975
666	1947	972
667	1949	968
668	1951	965
669	1954	962
670	1956	959
671	1959	956
672	1961	952
673	1963	949
674	1965	946
675	1968	943
676	1972	941
677	1975	938
678	1977	934
679	1979	931
680	1981	928
681	2023	943
682	2024	939
683	2026	936
684	2028	932
685	2031	929
686	2032	926
687	2036	923
688	2043	922
689	2054	922
690	2056	919
691	2058	916
692	2060	912
693	2062	909
694	2064	905
695	2070	904
696	2071	900
697	2073	897
698	2075	893
699	2077	890
700	2079	886
701	2082	884
702	2084	880
703	2086	877
704	2088	873
705	2090	870
706	2092	867
707	2096	864
708	2099	861
709	2100	858
710	2102	854
711	2104	851
712	2106	847
713	2108	844
714	2111	841
715	2113	838
716	2115	834
717	2117	831
718	2118	827
719	2120	824
720	2122	821
721	2127	819
722	2128	815
723	2130	812
724	2132	808
725	2134	805
726	2137	802
727	2141	799
728	2143	796
729	2144	793
730	2146	789
731	2148	786
732	2150	783
733	2152	780
734	2156	777
735	2158	774
736	2159	770
737	2161	767
738	2164	764
739	2165	760
740	2167	757
741	2170	754
742	2172	751
743	2174	748
744	2175	744
745	2177	741
746	2179	738
747	2181	735
748	2185	732
749	2187	729
750	2189	725
751	2191	722
752	2192	719
753	2194	716
754	2196	712
755	2199	709
756	2201	706
757	2203	703
758	2204	700
759	2206	696
760	2208	693
761	2210	690
762	2211	687
763	2214	684
764	2216	680
765	2218	677
766	2220	674
767	2222	671
768	2224	668
769	2226	665
770	2229	662
771	2231	658
772	2233	655
773	2234	652
774	2236	649
775	2238	646
776	2240	643
777	2244	640
778	2246	637
779	2247	634
780	2249	630
781	2251	627
782	2254	624
783	2255	621
784	2259	618
785	2261	615
786	2263	612
787	2265	609
788	2275	608
789	2277	605
790	2279	602
791	2283	599
792	2286	596
793	2289	594
794	2291	591
795	2294	587
796	2297	585
797	2299	582
798	2301	579
799	2304	576
800	2306	573
801	2308	569
802	2310	566
803	2312	563
804	2314	560
805	2317	557
806	2322	555
807	2324	552
808	2326	549
809	2328	546
810	2333	543
811	2335	540
812	2337	537
813	2339	534
814	2341	531
815	2344	528
816	2348	526
817	2350	523
818	2352	520
819	2354	516
820	2356	513
821	2358	510
822	2361	507
823	2364	504
824	2365	501
825	2367	498
826	2369	495
827	2370	492
828	2373	489
829	2375	486
830	2377	483
831	2379	480
832	2380	477
833	2382	474
834	2384	471
835	2386	468
836	2388	465
837	2390	462
838	2392	459
839	2393	455
840	2395	452
841	2397	449
842	2399	446
843	2401	443
844	2402	440
845	2405	437
846	2407	434
847	2409	431
848	2411	428
849	2413	425
850	2415	422
851	2417	419
852	2420	417
853	2422	414
854	2424	411
855	2425	408
856	2427	405
857	2429	402
858	2431	399
859	2432	396
860	2435	393
861	2437	390
862	2439	387
863	2442	384
864	2443	381
865	2445	378
866	2447	375
867	2449	372
868	2451	369
869	2453	366
870	2455	363
871	2469	362
872	2471	359
873	2473	356
874	2474	353
875	2476	350
876	2482	348
877	2484	345
878	2486	342
879	2488	339
880	2490	336
881	2492	333
882	2494	330
883	2496	327
884	2498	324
885	2500	321
886	2502	318
887	2503	315
888	2507	313
889	2510	310
890	2513	307
891	2514	304
892	2516	301
893	2520	298
894	2522	295
895	2526	293
896	2528	290
897	2529	287
898	2531	284
899	2533	281
900	2537	278
901	2543	276
902	2545	273
903	2548	270
904	2550	267
905	2556	265
906	2560	262
907	2563	259
908	2565	256
909	2567	253
910	2572	251
911	2574	248
912	2576	245
913	2579	242
914	2581	239
915	2583	236
916	2587	234
917	2589	231
918	2592	228
919	2595	225
920	2597	222
921	2601	220
922	2603	217
923	2605	214
924	2606	211
925	2608	208
926	2610	205
927	2612	202
928	2617	200
929	2620	197
930	2622	194
931	2625	191
932	2628	188
933	2633	186
934	2636	183
935	2639	180
936	2641	177
